Title,Genre,Runtime,Director,Release Date,Summary,Poster,TMDb Trailer
What If,"Comedy, Romance",01:52:00,Michael Dowse,2014-08-15,"When a medical school dropout meets an animator living with her boyfriend, tensions grow when they suspect they could be more than just friends.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyODc4Njg4OF5BMl5BanBnXkFtZTgwNDIwNDA4MTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=-VJmjBYvc6Q
Wonderful Nightmare,"Comedy, Drama, Fantasy",02:50:00,Hyo-jin Kang,2015-08-13,"A heavenly mix-up ends in the premature death of an ambitious lawyer. To fix the mistake, she must return to life for a month as a modest housewife.",https://images-na.ssl-images-amazon.com/images/M/MV5BYzhiOGRjMDUtNjM3NC00MzRmLTlkYzgtMDlkMjUyNWNkMjMxXkEyXkFqcGdeQXVyNTI4MDA2NDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=8wzfyymIrgQ
Pitch Black,"Action, Horror, Sci-Fi, Thriller",00:58:00,David Twohy,2000-02-18,"After crash-landing on a desolate planet, a pilot and her passengers, one of whom is a convicted killer, must fend off a race of carnivorous aliens.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=RU3eJmbyqzA
The Age of Innocence,"Drama, Romance",01:51:00,Martin Scorsese,1993-10-01,"A well-bred New Yorker engaged to an appropriate, cultured woman puts societys mores to the test when her alluring cousin comes along.",https://images-na.ssl-images-amazon.com/images/M/MV5BMWEzM2Y0MmYtOGE3OS00MTdiLWFlYjctZWE0OTU0NzEzOTIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,https://www.youtube.com/watch?v=I3Mx8OSlNYM
Lady Bird,"Comedy, Drama",02:56:00,Greta Gerwig,2017-12-01,"An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college in the East Coast.",https://ia.media-imdb.com/images/M/MV5BODhkZGE0NDQtZDc0Zi00YmQ4LWJiNmUtYTY1OGM1ODRmNGVkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=cNi_HC839Wo
100% Coco,Drama,02:56:00,Tessa Schram,2017-07-06,"On the first day of school, exuberant fashionista Coco finds its tough to stand out. Will a mask and a vlog give her the courage to be herself?",https://images-na.ssl-images-amazon.com/images/M/MV5BNzM2OTU1MTAtMzIwMC00NDY3LWE5YmEtMDc3OWE1OGVlNjAyXkEyXkFqcGdeQXVyMTU1NTc0MzY@._V1_SX300.jpg,https://www.youtube.com/watch?v=kwZrErWoWNc
Gattaca,"Drama, Sci-Fi, Thriller",01:56:00,Andrew Niccol,1997-10-24,"In a future where status is determined by genetics, a genetically flawed man conspires to game the system in order to achieve his lifelong dream.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDQxOTc0MzMtZmRlOS00OWQ5LWI2ZDctOTAwNmMwOTYxYzlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=DO_x-po_Nsc
The Immigrant,"Drama, Romance",00:52:00,James Gray,2014-05-23,A Polish immigrant in New York who must provide for her ill sister soon falls under the thumb of a charming thug who forces her into prostitution.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ2OTAyNTUzNl5BMl5BanBnXkFtZTgwMTkxNzA2MTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=7MsJYEIiIfs
Iyore,Drama,01:50:00,Frank Rajah Arase,2015-05-08,A tragic romance unfolds during a teachers lessons on the Benin empire after they begin to mirror her love life when her childhood love reappears.,https://m.media-amazon.com/images/M/MV5BZmI2ZGVkYzMtNDFkNi00MmVlLWExOGMtODA2ZmVlZGVkNTRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI0NTk1NDc@._V1_SX300.jpg,https://www.youtube.com/watch?v=y_ZPkIDv3NY
A Dogs Way Home,"Adventure, Drama, Family",01:50:00,Charles Martin Smith,2019-01-11,"A devoted, homesick dog goes on a treacherous journey across the American heartland to be reunited with her owner.",https://m.media-amazon.com/images/M/MV5BMTg5MjcwMzY5OV5BMl5BanBnXkFtZTgwMDM0OTI1NjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=1pKdCHvH310
Cuba and the Cameraman,Documentary,01:51:00,Jon Alpert,2017-11-24,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nations history.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyNDY0MjQ0Ml5BMl5BanBnXkFtZTgwMjEzMTQxNDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=lsZ8hDutkeM
Independents Day,"Action, Adventure, Sci-Fi, Thriller",02:52:00,Laura Beth Love,2016-06-07,"An armada of mysterious, gigantic spacecraft appears above Earth and throws humanity into panic and chaos through a series of devastating attacks.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGQ5NmMxYWYtYTYyMC00ZjYzLThjOGEtNTU4MmFhNTQ2OWUwXkEyXkFqcGdeQXVyMTk0NDc2ODY@._V1_SX300.jpg,https://www.youtube.com/watch?v=uxAQovDxMK8
Star Trek,"Action, Adventure, Sci-Fi",01:53:00,J.J. Abrams,2009-05-08,This reboot of Gene Roddenberrys beloved sci-fi franchise follows the early days of Capt. Kirk and his trusted team on the starship USS Enterprise.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=iGAHnZ555nI
Battle Royale 2,"Action, Drama, Thriller",01:50:00,"Kinji Fukasaku, Kenta Fukasaku",2003-07-05,"Led by Shuya Nanahara, a terrorist group determined to destroy the Japanese regime that tried to kill them launches a crushing attack on Tokyo.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4OTQ0MTExNV5BMl5BanBnXkFtZTcwMzQwMDY4Mw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=pSSzmolgvmY
Tales From the Hood 2,"Comedy, Horror",01:50:00,"Darin Scott, Rusty Cundieff",2018-10-02,Buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance.,https://m.media-amazon.com/images/M/MV5BMzg3MTg4YTUtZTllZi00M2ViLTg1YTAtYzM0M2EzZWQ0MzcwXkEyXkFqcGdeQXVyMTc3NDEwMA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=7vpwzvqkZps
The Beast,"Drama, Fantasy, Horror, Romance",00:59:00,Walerian Borowczyk,1977-04-15,"To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers â€” and soon becomes a suspect himself.",https://m.media-amazon.com/images/M/MV5BMjkzODE4MjMzM15BMl5BanBnXkFtZTgwMDQ1MzQ1MzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=eOkK00ncgV0
Scoob,"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",00:56:00,Tony Cervone,2020-05-15,"The bond between Shaggy, Scooby and the Mystery Inc. crew is put to the test when a villain nabs the hungry hound to unlock a mighty destiny.",https://m.media-amazon.com/images/M/MV5BZTJmODM0MDQtMTRjYy00YWZjLThjODItMzQ5N2I2NDBjYzA1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=-BgWppq25xI
The Chaser,"Action, Crime, Thriller",00:56:00,Hong-jin Na,2008-02-14,A cash-strapped pimp -- and former police detective -- draws upon the skills of his old job to track down his missing stable of prostitutes.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMzQwNjc2MV5BMl5BanBnXkFtZTcwNzg4MTY1Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=akiHkFxV24w
Cloverfield,"Action, Horror, Sci-Fi, Thriller",00:54:00,Matt Reeves,2008-01-18,A going-away party in Manhattan is interrupted when a mysterious monster of epic proportions launches an attack on New York City.,https://images-na.ssl-images-amazon.com/images/M/MV5BZDNhNDJlNDktZDI4OC00OTE3LWI2M2UtOThkNTFkNjBjYzRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,https://www.youtube.com/watch?v=_afPFLvh2qg
The Bourne Identity,"Action, Mystery, Thriller",01:51:00,Doug Liman,2002-06-14,"Wounded and suffering from amnesia, Jason Bourne starts to reconstruct his life but finds that many people he encounters want him dead.",http://ia.media-imdb.com/images/M/MV5BNDRmOGQ0ZjktMTQ5Zi00NTZlLTk5MjktOWY4ZjcyOGE5OGRlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=2tqK_3mKQUw
The Donkey King,"Animation, Comedy, Family",01:56:00,Aziz Jindani,2018-10-12,A daydreaming donkey becomes the unlikely successor to his kingdoms throne and must disprove his doubters when evil threatens the realms citizens.,https://m.media-amazon.com/images/M/MV5BN2I4NTc2YzItNTExMy00NDAzLWFlZGYtNmM4MjVjMzM2YWZjXkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=9o996V_puWU
Kanikosen,"Action, Adventure, Drama",01:57:00,SABU,2009-07-04,"Oppressed workers on a crab canning ship decide to commit mass suicide in revolt. But their plans go awry, leading them on an unexpected journey.",https://m.media-amazon.com/images/M/MV5BMTk0NTczNzkzN15BMl5BanBnXkFtZTgwNzc5MjA2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=QYLHvDZvnWs
The Book of Life,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",01:56:00,Jorge R. Gutiérrez,2014-10-17,"Should he follow in his familys footsteps, or follow his heart? Young Manolo goes on a fantastic journey to discover the path his life could take.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTgzNDYzOF5BMl5BanBnXkFtZTgwOTgxMTkyMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=mP01tEMzt40
Post Grad,"Comedy, Romance",01:55:00,Vicky Jenson,2009-08-21,"When no job materializes after graduation, Ryden moves back in with her dysfunctional family and work full-time at maintaining her sanity.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzg0NDQ4NF5BMl5BanBnXkFtZTcwMzM2Njg0Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=iFR4SgfqAFc
Cats and Dogs: The Revenge of Kitty Galore,"Action, Adventure, Comedy, Family, Fantasy, Thriller",02:58:00,Brad Peyton,2010-07-30,Cats and dogs must set aside their differences and merge animal instincts when Kitty Galore decides to claw her way to global domination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNTk2NTc3OV5BMl5BanBnXkFtZTcwMDUwMzgyMw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=jK6suPB_vTk
Cloclo,"Biography, Drama, Music",01:50:00,Florent-Emilio Siri,2012-03-14,"This vibrant biopic traces the tumultuous life of pop superstar Claude François, from his early years and meteoric rise to his tragic death.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MjcyODczOF5BMl5BanBnXkFtZTgwMTAzNjAzMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=EowdPk8UMCE
Let Me Eat Your Pancreas,"Drama, Romance",01:57:00,Shô Tsukikawa,2017-07-28,A librarian looks back on his friendship with his high school classmate who never let her terminal disease stop her from living life to the fullest.,https://m.media-amazon.com/images/M/MV5BMDQ2ZDhhNjUtN2Y2NS00NDgwLTg3YjItNGZlOGQ2Y2VjOTQxXkEyXkFqcGdeQXVyNjgwNTk4Mg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=qLCZ5l674pA
Fast and Furious,"Action, Thriller",02:56:00,Justin Lin,2009-04-03,Fugitive Dom Toretto teams with nemesis Brian OConner to take on a common enemy in this full-throttle installment of the speed-racing franchise.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNDA2MTg3Nl5BMl5BanBnXkFtZTcwNTg3MzIyMg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=9c3-mpDxX-A
Rurouni Kenshin,"Action, Adventure, Drama, History",02:58:00,Keishi Ohtomo,2012-08-25,"In 1868, after the Bakumatsu war ends, the ex-assassin Kenshin Himura traverses Japan with an inverted sword, to defend the needy without killing.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDgzODM2MjUyMF5BMl5BanBnXkFtZTgwMzg4MjA1OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=lc_JmcRxdx8
A YELLOW BIRD,Drama,01:55:00,K Rajagopal,2016-12-08,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzM2MWQ5NDEtMDgwYS00Yzk0LTkwNDQtMDA0YWU5NWUxMGFhXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=UEvAAbZcSVs
Udaan,Drama,01:58:00,Vikramaditya Motwane,2010-07-16,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his fathers plans for his future.",https://m.media-amazon.com/images/M/MV5BNzgxMzExMzUwNV5BMl5BanBnXkFtZTcwMDc2MjUwNA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=wEJxe2bE-cE
Police Academy 3: Back in Training,Comedy,00:57:00,Jerry Paris,1986-03-21,"When budget cuts threaten to close one of the citys two police academies, alumni Carey Mahoney and the gang are called back to save their academy.",https://ia.media-imdb.com/images/M/MV5BNWM0NGQ2ZTctZDNiZi00MzlmLTlhODAtMWQ5Y2Q0YTFjOTcwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=QBai0KLPCXY
A Cure for Wellness,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",00:50:00,Gore Verbinski,2017-02-17,"Dispatched to retrieve his companys CEO from a remote European wellness spa, a naive underling discovers the alpine retreats terrifying secrets.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=JF1rLFCdewU
Grease,"Musical, Romance",02:50:00,Randal Kleiser,1978-06-16,John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for -- much to his friends chagrin.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGY3ZTA4ZWEtMmI4Yy00NTE1LTkxZDMtNjRlMzM1N2ZiMDJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,https://www.youtube.com/watch?v=yNhZNp9GXb8
Legends of the Fall,"Drama, Romance, War, Western",01:53:00,Edward Zwick,1995-01-13,"The Ludlow clan -- father William and brothers Alfred, Tristan and Sam -- splinters when Sam leaves to fight in World War I against his dads wishes.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=TR5E7Kuty3o
Dil Chahta Hai,"Comedy, Drama, Romance",02:52:00,Farhan Akhtar,2001-08-10,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them -- until they each fall in love.",https://m.media-amazon.com/images/M/MV5BMjRjMTYwMTYtMmRkNi00MmVkLWE0MjQtNmM3YjI0NWFhZDNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=m13b25V0B10
Hercules in New York,"Adventure, Comedy, Fantasy",01:51:00,Arthur Allan Seidelman,1970-02-25,"Immortal Hercules is zapped by a lightning bolt into 20th-century New York, where crosses paths with the mob and a shifty wrestling promoter.",http://ia.media-imdb.com/images/M/MV5BMjEzMDQ1NjU4M15BMl5BanBnXkFtZTcwNDU5MDg5MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=NMIJykfDluQ
Gemini Man,"Action, Drama, Sci-Fi, Thriller",02:50:00,Ang Lee,2019-10-11,"A recently-retired sniper faces off with a younger, stronger, cloned version of himself that a covert government agency has engineered to kill him.",https://m.media-amazon.com/images/M/MV5BZDJlYzMyZTctYzBiMi00Y2E5LTk4YzgtNzU5YzE0MDZkY2EwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_SX300.jpg,https://www.youtube.com/watch?v=AbyJignbSj0
October Gale,"Drama, Romance, Thriller",00:56:00,Ruba Nadda,2015-03-06,"At her familys remote cabin, a widow grieving for her husband is confronted by a man with a gunshot wound -- whose assailant is still in pursuit.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMzMwMTk3MF5BMl5BanBnXkFtZTgwNTc5NTIyNDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=x5BoJJbbEjw
Territory,"Adventure, Drama",02:52:00,Aleksandr Melnik,2015-04-16,A relentless geologist assembles a team of adventurers to explore the unforgiving terrain of northern Russia in search of gold.,https://m.media-amazon.com/images/M/MV5BMTk1ODA3ODI5OV5BMl5BanBnXkFtZTgwODUyMzk3MTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=a4N57w1nbZc
One Piece Film Z,"Animation, Action, Adventure, Fantasy",01:55:00,Tatsuya Nagamine,2012-12-15,"Luffy and his gang save a disillusioned Navy admiral named Z who has one goal -- to slaughter every pirate in the world, including the Straw Hats.",https://ia.media-imdb.com/images/M/MV5BZTZlOTc0MmMtMDBmNy00MzU4LWE2Y2MtMWEwN2Y2YThhYzJiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=yW65EgrxbUI
Escape from Planet Earth,"Animation, Adventure, Comedy, Family, Sci-Fi",02:54:00,Cal Brunker,2013-02-15,"This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Q1NhAUsyslk
Then Came You,"Adventure, Comedy, Drama",02:57:00,Peter Hutchings,2019-02-01,A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.,https://m.media-amazon.com/images/M/MV5BMWY1YjIxNWEtMjNhYi00OTFlLWE0ZmMtM2NhNGJjNjE2NGNkXkEyXkFqcGdeQXVyMjMwMzk5OTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=SIkRfCKd7Lc
Papi Chulo,"Comedy, Drama",00:55:00,John Butler,2019-06-07,An improbable friendship develops when a despondent TV weatherman hires a bemused day laborer to paint his deck ... and listen to his problems.,https://m.media-amazon.com/images/M/MV5BNDAxOGVjYzctNDM1Yy00MGVjLThjMDEtYjEwZWQ1YjZmNzNhXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_SX300.jpg,https://www.youtube.com/watch?v=dmtfpB6MUi0
Richie Rich,"Comedy, Family",01:54:00,Donald Petrie,1994-12-21,"Billionaire heir Richie Rich is a kid who has it all -- yet he has no playmates. Whats more, a scoundrel is scheming to take over the family empire.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTY4NDc2ODctMzA1ZC00MDc4LWE2ZjItYjIzODVkYTdmNzg0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=fJJQ44fdDws
The Guilt Trip,"Comedy, Drama",01:50:00,Anne Fletcher,2012-12-19,"After a young inventor invites his mother on a promotional road trip, she learns that he has an ulterior motive: fixing her up with a long-lost flame.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODAxNDc0Nl5BMl5BanBnXkFtZTcwMzg0NDY1OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=UAwiiGUCeLE
Damascus Cover,Thriller,02:55:00,Daniel Zelik Berk,2018-07-20,"In the year 1989, a veteran spy is sent to Damascus, Syria, on a mission to smuggle a chemical weapons scientist and his family out of the country.",https://m.media-amazon.com/images/M/MV5BMzA0N2RkZjctMzdjNy00YzI1LTliOTgtMDhjOWM1ZmRiNjZkXkEyXkFqcGdeQXVyMTk1MDAyMzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=JIQNsPiv4Cw
Yuli,"Biography, Drama, Music",02:53:00,Icíar Bollaín,2018-12-14,A gifted dancer from Cuba struggles to leave his home behind when prestigious opportunities to take his talents across the country and abroad arise.,https://m.media-amazon.com/images/M/MV5BNWMxZTE4ZGYtYmZjMy00ZjFkLTk4NTctMzg4OWMwZDY4YjJkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,https://www.youtube.com/watch?v=zAzbNQZya9o
Judwaa 2,"Action, Comedy",00:52:00,David Dhawan,2017-09-29,"Separated at birth, twins Raja and Prem couldnt be more different. But when fate puts them both in London, they start being mistaken for each other.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNDQ3ODI3N15BMl5BanBnXkFtZTgwMTUwNTEzMzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=4LPJQVFgY-4
Beverly Hills Ninja,"Action, Comedy",00:58:00,Dennis Dugan,1997-01-17,"Looking for someone to tail her shady boyfriend, a pretty woman hires a ham-fisted orphan -- who was raised and tutored by ninjas -- for the job.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGU1NzQ1ZmItZGVmNC00NWQ4LWEwYTYtOTc4NWE1MmY0YTk2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=L7wjZZDmyhY
Trixie Mattel: Moving Parts,Documentary,01:59:00,Nicholas Zeig-Owens,2019-04-25,Drag queen Trixie Mattel deals with the bittersweet reality of success in this documentary that explores her rise to fame and subsequent music career.,https://m.media-amazon.com/images/M/MV5BOTE0MzFhODMtMzBkNS00NWYwLTk0NDYtNjYwM2Y0OTYyNDRkXkEyXkFqcGdeQXVyNzE5NjM3ODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=g9rUUsnWIDo
Tesla,"Biography, Drama",01:54:00,Michael Almereyda,2020-08-21,"From his charged rivalry to his electrifying ideas, this unfettered biopic tracks inventor Nikola Tesla during a creative period in his ill-fated life.",https://m.media-amazon.com/images/M/MV5BYzg0MjQ0ODUtYTgyNC00Y2Y5LWE5NDctODY3ZTFkYmZkNGFiXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,https://www.youtube.com/watch?v=e4U-23TOKms
And You Thought Your Parents Were Weird,"Comedy, Family, Fantasy, Sci-Fi",01:53:00,Tony Cookson,1991-11-15,"Two brothers create a voice-activated robot that develops a mind of its own. Luckily, its a friendly one -- the spirit of the boys deceased father.",https://m.media-amazon.com/images/M/MV5BYTc4MmZiYWYtM2I2ZS00OGM4LWI1ODgtMTM1OGQ3MDVjZDUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=1vXQT24F3dU
A Hologram for the King,"Comedy, Drama, Romance",02:51:00,Tom Tykwer,2016-04-28,A broke American businessman trying to sell an IT contract to Saudi Arabias king finds himself changed by an unfamiliar culture and a new romance.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MzU1NTg4NV5BMl5BanBnXkFtZTgwNzQ5MjAzODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=wZzSZ_8OCY4
Chillar Party,"Comedy, Drama, Family",01:54:00,"Vikas Bahl, Nitesh Tiwari",2011-07-08,"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatkas way of life, the boys band together in honor of their pal.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NzgxNjIxOV5BMl5BanBnXkFtZTcwMjIxMjc4NQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=ls7hxjVnHNQ
Klovn Forever,"Comedy, Drama",02:55:00,Mikkel Nørgaard,2016-09-02,"In this sequel to “Klown,” Casper moves to LA -- with Frank on his heels -- where the incorrigible pair proceed to trounce taboos and “go Hollywood.”",https://m.media-amazon.com/images/M/MV5BMjEzNTc2NjQzN15BMl5BanBnXkFtZTgwMjUyOTcxMDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=-u7dVzaU4Uc
Antar: Son of Shadad,Comedy,01:56:00,Sherif Ismail,2017-06-25,"Learning he is the grandson of a famous knight, a young man hilariously fights a rival gang to win over the most beautiful woman in the tribe.",https://images-na.ssl-images-amazon.com/images/M/MV5BMWRmOTI3MjItZGNkMS00YzFlLTgzM2MtYzAxM2YwMTUxZmI2XkEyXkFqcGdeQXVyNDkwNDQyMzQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=R9mJQjjs3Cg
Time and Tide,"Action, Crime, Drama, Thriller",00:56:00,Hark Tsui,2000-10-19,"Streetwise Tyler befriends a mercenary, but their camaraderie proves to be short-lived as the men find themselves in opposing camps of a gang war.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5OTM0Mjg1MV5BMl5BanBnXkFtZTcwMjgzNzUxMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=OJoJuo5fP14
This Is 40,"Comedy, Romance",01:57:00,Judd Apatow,2012-12-21,Judd Apatow revisits Knocked Ups married couple Pete and Debbie in this sequel as the pair wrestles with the realities of getting older.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxMDQ1NjA4N15BMl5BanBnXkFtZTcwNTE5MjQ3OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=2NvTjCELbrk
The Time Machine,"Action, Adventure, Sci-Fi",00:59:00,Simon Wells,2002-03-08,"Based on the H.G. Wells classic, this adventure follows a scientist and inventor whos determined to prove to doubters that time travel is possible.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4YTViNGMtYTYyOS00MTViLWEyYTgtNGM0OTIwMWRmYzdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=90T7iLuzFgg
Gimme Shelter,Drama,00:53:00,Ron Krauss,2014-10-29,"After running away from her abusive mother, a streetwise teen seeks refuge with her father, but he rejects her when he learns that shes pregnant.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MzMyMjYxMV5BMl5BanBnXkFtZTgwNDYzMTc2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=lHlvfH9oYas
Conor McGregor: Notorious,"Documentary, Biography, Sport",01:55:00,Gavin Fitzgerald,2017-11-08,"From making ends meet to lavish rides and fur coats, the Irish MMA champion grants an all-access pass to the highs -- and lows -- of his ascent.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI2M2YwOGMtNzIxNS00NzEyLWEzMzAtOGI1YzljNjRhMmU4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=syOgWwz2fiE
Love and Death,"Comedy, War",01:50:00,Woody Allen,1975-07-18,"In this spoof of 19th-century Russian literature, a faint-hearted hero whos drafted for war convinces his beautiful cousin to marry him.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGFkNDk4NmItZmQ4OS00YWIwLThiMTctZWYyMWQ3MjUxYjhlXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,https://www.youtube.com/watch?v=ESMIOnDD3Gg
